item_id,item_name,category,size,temperature,description,price_inr,rating,calories,availability
ITEM0230,Vanilla Latte,Coffee,Medium,Hot,"Medium Vanilla Latte, caramel flavored, served hot.",385,3.9,226,Available
ITEM0231,Irish Cream Coffee,Coffee,Large,Hot,"Large Irish Cream Coffee, nutty and balanced, served hot.",449,4.0,480,Available
ITEM0232,Vanilla Latte,Coffee,Large,Hot,"Large Vanilla Latte, mild and creamy, served hot.",307,4.3,519,Available
ITEM0233,Iced Latte,Coffee,Small,Cold,"Small Iced Latte, smooth and creamy, served cold.",320,4.8,258,Available
ITEM0234,Vanilla Latte,Coffee,Large,Cold,"Large Vanilla Latte, rich and strong, served cold.",316,4.6,451,Out of Stock
ITEM0235,Cappuccino,Coffee,Small,Hot,"Small Cappuccino, light and refreshing, served hot.",208,3.3,552,Available
ITEM0236,Iced Latte,Coffee,Small,Hot,"Small Iced Latte, sweet and aromatic, served hot.",225,3.4,224,Available
ITEM0237,Cold Coffee,Coffee,Large,Hot,"Large Cold Coffee, chocolate flavored, served hot.",303,3.4,287,Out of Stock
ITEM0238,Affogato,Sandwich,Small,Cold,"Small Affogato, caramel flavored, served cold.",107,3.9,442,Available
ITEM0239,Macchiato,Coffee,Small,Cold,"Small Macchiato, nutty and balanced, served cold.",194,3.3,161,Available
ITEM0240,Hazelnut Coffee,Coffee,Small,Hot,"Small Hazelnut Coffee, mild and creamy, served hot.",99,3.7,543,Available
ITEM0241,Hazelnut Coffee,Coffee,Large,Cold,"Large Hazelnut Coffee, smooth and creamy, served cold.",309,4.3,141,Available
ITEM0242,Mocha,Coffee,Small,Hot,"Small Mocha, rich and strong, served hot.",360,4.9,600,Out of Stock
ITEM0243,Americano,Coffee,Medium,Hot,"Medium Americano, light and refreshing, served hot.",234,3.4,304,Out of Stock
ITEM0244,Vanilla Latte,Coffee,Large,Cold,"Large Vanilla Latte, sweet and aromatic, served cold.",112,3.4,571,Available
ITEM0245,Vanilla Latte,Coffee,Large,Hot,"Large Vanilla Latte, chocolate flavored, served hot.",447,3.5,499,Available
ITEM0246,Iced Mocha,Sandwich,Small,Cold,"Small Iced Mocha, caramel flavored, served cold.",175,4.4,147,Available
ITEM0247,Americano,Coffee,Large,Hot,"Large Americano, nutty and balanced, served hot.",279,4.8,104,Out of Stock
ITEM0248,Flat White,Coffee,Medium,Hot,"Medium Flat White, mild and creamy, served hot.",262,4.6,413,Available
ITEM0249,Caramel Latte,Coffee,Large,Hot,"Large Caramel Latte, smooth and creamy, served hot.",377,4.5,400,Available
ITEM0250,Espresso,Coffee,Medium,Cold,"Medium Espresso, rich and strong, served cold.",409,3.5,535,Out of Stock
ITEM0251,Vanilla Latte,Coffee,Small,Hot,"Small Vanilla Latte, light and refreshing, served hot.",112,4.5,528,Available
ITEM0252,Mocha,Coffee,Small,Hot,"Small Mocha, sweet and aromatic, served hot.",182,4.8,383,Available
ITEM0253,Iced Latte,Coffee,Medium,Cold,"Medium Iced Latte, chocolate flavored, served cold.",209,3.3,255,Available
ITEM0254,Flat White,Coffee,Small,Cold,"Small Flat White, caramel flavored, served cold.",219,3.4,436,Out of Stock
ITEM0255,Affogato,Snack,Large,Cold,"Large Affogato, nutty and balanced, served cold.",277,3.8,251,Out of Stock
ITEM0256,Caramel Latte,Coffee,Medium,Cold,"Medium Caramel Latte, mild and creamy, served cold.",345,3.7,144,Out of Stock
ITEM0257,Americano,Coffee,Medium,Hot,"Medium Americano, smooth and creamy, served hot.",359,3.7,165,Available
ITEM0258,Flat White,Coffee,Large,Cold,"Large Flat White, rich and strong, served cold.",236,4.0,496,Available
ITEM0259,Caramel Latte,Coffee,Medium,Cold,"Medium Caramel Latte, light and refreshing, served cold.",308,3.3,421,Out of Stock
ITEM0260,Mocha,Coffee,Large,Hot,"Large Mocha, sweet and aromatic, served hot.",118,4.4,475,Available
ITEM0261,Iced Latte,Coffee,Large,Hot,"Large Iced Latte, chocolate flavored, served hot.",95,3.5,508,Available
ITEM0262,Cappuccino,Coffee,Small,Hot,"Small Cappuccino, caramel flavored, served hot.",410,3.9,452,Available
ITEM0263,Iced Mocha,Dessert,Large,Cold,"Large Iced Mocha, nutty and balanced, served cold.",269,3.9,138,Available
ITEM0264,Iced Latte,Coffee,Medium,Cold,"Medium Iced Latte, mild and creamy, served cold.",240,4.4,315,Available
ITEM0265,Espresso,Coffee,Large,Hot,"Large Espresso, smooth and creamy, served hot.",335,4.1,635,Available
ITEM0266,Mocha,Coffee,Medium,Cold,"Medium Mocha, rich and strong, served cold.",189,5.0,352,Out of Stock
ITEM0267,Latte,Coffee,Small,Hot,"Small Latte, light and refreshing, served hot.",117,4.0,515,Available
ITEM0268,Hazelnut Coffee,Coffee,Large,Cold,"Large Hazelnut Coffee, sweet and aromatic, served cold.",421,3.8,126,Available
ITEM0269,Affogato,Sandwich,Small,Hot,"Small Affogato, chocolate flavored, served hot.",265,4.1,184,Available
ITEM0270,Hazelnut Coffee,Coffee,Small,Hot,"Small Hazelnut Coffee, caramel flavored, served hot.",332,3.2,627,Available
ITEM0271,Cold Coffee,Coffee,Large,Hot,"Large Cold Coffee, nutty and balanced, served hot.",393,4.8,127,Available
ITEM0272,Macchiato,Coffee,Large,Cold,"Large Macchiato, mild and creamy, served cold.",349,3.9,479,Available
ITEM0273,Cappuccino,Coffee,Medium,Hot,"Medium Cappuccino, smooth and creamy, served hot.",310,4.0,589,Available
ITEM0274,Cappuccino,Coffee,Large,Hot,"Large Cappuccino, rich and strong, served hot.",146,4.0,116,Available
ITEM0275,Iced Latte,Coffee,Small,Cold,"Small Iced Latte, light and refreshing, served cold.",164,3.5,290,Available
ITEM0276,Iced Latte,Coffee,Medium,Hot,"Medium Iced Latte, sweet and aromatic, served hot.",208,3.6,624,Available
ITEM0277,Cappuccino,Coffee,Large,Cold,"Large Cappuccino, chocolate flavored, served cold.",394,4.2,574,Available
ITEM0278,Iced Mocha,Breakfast,Small,Hot,"Small Iced Mocha, caramel flavored, served hot.",417,4.3,405,Available
ITEM0279,Irish Cream Coffee,Coffee,Small,Hot,"Small Irish Cream Coffee, nutty and balanced, served hot.",103,4.9,650,Available
ITEM0280,Vanilla Latte,Coffee,Small,Cold,"Small Vanilla Latte, mild and creamy, served cold.",396,4.4,569,Available
ITEM0281,Vanilla Latte,Coffee,Medium,Cold,"Medium Vanilla Latte, smooth and creamy, served cold.",205,4.6,475,Available
ITEM0282,Cold Coffee,Coffee,Small,Hot,"Small Cold Coffee, rich and strong, served hot.",160,4.0,555,Out of Stock
ITEM0283,Latte,Coffee,Medium,Hot,"Medium Latte, light and refreshing, served hot.",240,4.8,386,Available
ITEM0284,Macchiato,Coffee,Small,Cold,"Small Macchiato, sweet and aromatic, served cold.",343,4.2,386,Available
ITEM0285,Cold Coffee,Coffee,Small,Cold,"Small Cold Coffee, chocolate flavored, served cold.",310,3.6,159,Available
ITEM0286,Mocha,Coffee,Medium,Cold,"Medium Mocha, caramel flavored, served cold.",207,4.9,223,Available
ITEM0287,Affogato,Breakfast,Large,Cold,"Large Affogato, nutty and balanced, served cold.",177,4.6,570,Out of Stock
ITEM0288,Cold Coffee,Coffee,Medium,Cold,"Medium Cold Coffee, mild and creamy, served cold.",91,3.4,462,Out of Stock
ITEM0289,Latte,Coffee,Small,Cold,"Small Latte, smooth and creamy, served cold.",104,3.3,566,Out of Stock
ITEM0290,Mocha,Coffee,Large,Hot,"Large Mocha, rich and strong, served hot.",135,4.0,330,Available
ITEM0291,Hazelnut Coffee,Coffee,Medium,Cold,"Medium Hazelnut Coffee, light and refreshing, served cold.",103,3.9,643,Available
ITEM0292,Flat White,Coffee,Large,Cold,"Large Flat White, sweet and aromatic, served cold.",117,3.9,521,Available
ITEM0293,Irish Cream Coffee,Coffee,Large,Hot,"Large Irish Cream Coffee, chocolate flavored, served hot.",145,5.0,463,Available
ITEM0294,Hazelnut Coffee,Coffee,Medium,Cold,"Medium Hazelnut Coffee, caramel flavored, served cold.",153,3.6,581,Out of Stock
ITEM0295,Iced Latte,Coffee,Small,Hot,"Small Iced Latte, nutty and balanced, served hot.",99,3.4,401,Out of Stock
ITEM0296,Iced Latte,Coffee,Medium,Hot,"Medium Iced Latte, mild and creamy, served hot.",390,4.8,203,Available
ITEM0297,Affogato,Breakfast,Medium,Hot,"Medium Affogato, smooth and creamy, served hot.",281,5.0,366,Available
ITEM0298,Iced Latte,Coffee,Large,Cold,"Large Iced Latte, rich and strong, served cold.",442,4.2,546,Available
ITEM0299,Flat White,Coffee,Medium,Hot,"Medium Flat White, light and refreshing, served hot.",293,4.3,87,Out of Stock
ITEM0300,Mocha,Coffee,Large,Hot,"Large Mocha, sweet and aromatic, served hot.",449,3.3,551,Available
ITEM0301,Iced Latte,Coffee,Large,Cold,"Large Iced Latte, chocolate flavored, served cold.",155,4.7,308,Available
ITEM0302,Iced Mocha,Beverage,Small,Hot,"Small Iced Mocha, caramel flavored, served hot.",89,4.0,488,Available
ITEM0303,Macchiato,Coffee,Large,Hot,"Large Macchiato, nutty and balanced, served hot.",290,4.1,542,Available
ITEM0304,Caramel Latte,Coffee,Small,Hot,"Small Caramel Latte, mild and creamy, served hot.",367,3.8,549,Out of Stock
ITEM0305,Flat White,Coffee,Small,Cold,"Small Flat White, smooth and creamy, served cold.",352,3.8,422,Available
ITEM0306,Iced Mocha,Snack,Small,Hot,"Small Iced Mocha, rich and strong, served hot.",222,4.2,290,Available
ITEM0307,Hazelnut Coffee,Coffee,Medium,Hot,"Medium Hazelnut Coffee, light and refreshing, served hot.",433,4.5,384,Out of Stock
ITEM0308,Flat White,Coffee,Large,Cold,"Large Flat White, sweet and aromatic, served cold.",227,3.4,616,Out of Stock
ITEM0309,Affogato,Snack,Medium,Hot,"Medium Affogato, chocolate flavored, served hot.",228,3.3,140,Available
ITEM0310,Affogato,Snack,Large,Cold,"Large Affogato, caramel flavored, served cold.",325,3.6,611,Available
ITEM0311,Affogato,Breakfast,Large,Cold,"Large Affogato, nutty and balanced, served cold.",150,3.4,305,Available
ITEM0312,Espresso,Coffee,Large,Hot,"Large Espresso, mild and creamy, served hot.",406,3.6,162,Out of Stock
ITEM0313,Flat White,Coffee,Large,Cold,"Large Flat White, smooth and creamy, served cold.",131,4.4,200,Available
ITEM0314,Iced Latte,Coffee,Small,Cold,"Small Iced Latte, rich and strong, served cold.",414,4.9,547,Out of Stock
ITEM0315,Vanilla Latte,Coffee,Small,Cold,"Small Vanilla Latte, light and refreshing, served cold.",244,3.7,120,Available
ITEM0316,Vanilla Latte,Coffee,Large,Hot,"Large Vanilla Latte, sweet and aromatic, served hot.",353,4.5,98,Available
ITEM0317,Macchiato,Coffee,Small,Hot,"Small Macchiato, chocolate flavored, served hot.",283,4.6,250,Available
ITEM0318,Affogato,Tea,Small,Cold,"Small Affogato, caramel flavored, served cold.",370,4.3,403,Available
ITEM0319,Cold Coffee,Coffee,Large,Cold,"Large Cold Coffee, nutty and balanced, served cold.",148,4.7,539,Available
ITEM0320,Latte,Coffee,Small,Cold,"Small Latte, mild and creamy, served cold.",163,4.5,323,Available
ITEM0321,Espresso,Coffee,Large,Cold,"Large Espresso, smooth and creamy, served cold.",231,4.2,257,Available
ITEM0322,Iced Mocha,Beverage,Medium,Cold,"Medium Iced Mocha, rich and strong, served cold.",343,3.8,470,Available
ITEM0323,Cappuccino,Coffee,Small,Cold,"Small Cappuccino, light and refreshing, served cold.",245,4.9,66,Available
ITEM0324,Macchiato,Coffee,Small,Cold,"Small Macchiato, sweet and aromatic, served cold.",216,4.9,369,Available
ITEM0325,Mocha,Coffee,Large,Cold,"Large Mocha, chocolate flavored, served cold.",434,3.6,181,Out of Stock
ITEM0326,Mocha,Coffee,Small,Cold,"Small Mocha, caramel flavored, served cold.",431,4.1,378,Available
ITEM0327,Vanilla Latte,Coffee,Medium,Cold,"Medium Vanilla Latte, nutty and balanced, served cold.",394,3.6,196,Out of Stock
ITEM0328,Cappuccino,Coffee,Medium,Cold,"Medium Cappuccino, mild and creamy, served cold.",292,4.5,542,Available
ITEM0329,Hazelnut Coffee,Coffee,Small,Hot,"Small Hazelnut Coffee, smooth and creamy, served hot.",349,4.0,430,Available
ITEM0330,Affogato,Breakfast,Small,Hot,"Small Affogato, rich and strong, served hot.",360,4.8,267,Available
ITEM0331,Cappuccino,Coffee,Medium,Cold,"Medium Cappuccino, light and refreshing, served cold.",139,4.4,560,Available
ITEM0332,Affogato,Breakfast,Medium,Hot,"Medium Affogato, sweet and aromatic, served hot.",312,3.4,485,Out of Stock
ITEM0333,Iced Mocha,Tea,Large,Cold,"Large Iced Mocha, chocolate flavored, served cold.",424,4.7,82,Out of Stock
ITEM0334,Mocha,Coffee,Small,Hot,"Small Mocha, caramel flavored, served hot.",376,3.3,493,Available
ITEM0335,Caramel Latte,Coffee,Small,Hot,"Small Caramel Latte, nutty and balanced, served hot.",115,5.0,543,Available
ITEM0336,Mocha,Coffee,Medium,Hot,"Medium Mocha, mild and creamy, served hot.",149,4.6,490,Available
ITEM0337,Affogato,Snack,Medium,Cold,"Medium Affogato, smooth and creamy, served cold.",272,3.3,612,Available
ITEM0338,Vanilla Latte,Coffee,Medium,Hot,"Medium Vanilla Latte, rich and strong, served hot.",171,5.0,462,Available
ITEM0339,Caramel Latte,Coffee,Small,Hot,"Small Caramel Latte, light and refreshing, served hot.",91,5.0,534,Out of Stock
ITEM0340,Iced Latte,Coffee,Medium,Hot,"Medium Iced Latte, sweet and aromatic, served hot.",206,4.0,218,Available
ITEM0341,Latte,Coffee,Large,Hot,"Large Latte, chocolate flavored, served hot.",96,4.7,489,Available
ITEM0342,Latte,Coffee,Small,Hot,"Small Latte, caramel flavored, served hot.",131,4.3,517,Available
ITEM0343,Latte,Coffee,Large,Hot,"Large Latte, nutty and balanced, served hot.",285,4.0,612,Available
ITEM0344,Hazelnut Coffee,Coffee,Small,Hot,"Small Hazelnut Coffee, mild and creamy, served hot.",337,5.0,299,Available
ITEM0345,Iced Mocha,Breakfast,Large,Cold,"Large Iced Mocha, smooth and creamy, served cold.",201,3.7,206,Available
ITEM0346,Macchiato,Coffee,Medium,Cold,"Medium Macchiato, rich and strong, served cold.",111,4.2,239,Out of Stock
ITEM0347,Iced Latte,Coffee,Medium,Hot,"Medium Iced Latte, light and refreshing, served hot.",256,4.9,450,Available
ITEM0348,Caramel Latte,Coffee,Medium,Cold,"Medium Caramel Latte, sweet and aromatic, served cold.",156,3.7,248,Out of Stock
ITEM0349,Latte,Coffee,Small,Cold,"Small Latte, chocolate flavored, served cold.",442,3.5,534,Available
ITEM0350,Iced Latte,Coffee,Medium,Cold,"Medium Iced Latte, caramel flavored, served cold.",365,4.2,457,Available
ITEM0351,Mocha,Coffee,Small,Cold,"Small Mocha, nutty and balanced, served cold.",411,3.3,520,Available
ITEM0352,Americano,Coffee,Large,Hot,"Large Americano, mild and creamy, served hot.",106,3.7,100,Available
ITEM0353,Latte,Coffee,Large,Hot,"Large Latte, smooth and creamy, served hot.",325,3.6,400,Available
ITEM0354,Affogato,Tea,Small,Hot,"Small Affogato, rich and strong, served hot.",140,4.5,550,Available
ITEM0355,Caramel Latte,Coffee,Large,Hot,"Large Caramel Latte, light and refreshing, served hot.",283,4.8,625,Available
ITEM0356,Hazelnut Coffee,Coffee,Medium,Cold,"Medium Hazelnut Coffee, sweet and aromatic, served cold.",318,4.2,427,Available
ITEM0357,Mocha,Coffee,Medium,Cold,"Medium Mocha, chocolate flavored, served cold.",318,3.4,540,Available
ITEM0358,Affogato,Dessert,Medium,Cold,"Medium Affogato, caramel flavored, served cold.",291,3.3,286,Available
ITEM0359,Espresso,Coffee,Medium,Cold,"Medium Espresso, nutty and balanced, served cold.",231,3.5,397,Available
ITEM0360,Macchiato,Coffee,Large,Hot,"Large Macchiato, mild and creamy, served hot.",335,4.2,405,Available
ITEM0361,Hazelnut Coffee,Coffee,Medium,Cold,"Medium Hazelnut Coffee, smooth and creamy, served cold.",315,3.5,420,Available
ITEM0362,Cappuccino,Coffee,Large,Cold,"Large Cappuccino, rich and strong, served cold.",174,4.9,615,Available
ITEM0363,Iced Latte,Coffee,Small,Hot,"Small Iced Latte, light and refreshing, served hot.",422,3.3,66,Out of Stock
ITEM0364,Cappuccino,Coffee,Large,Hot,"Large Cappuccino, sweet and aromatic, served hot.",114,4.5,69,Available
ITEM0365,Iced Latte,Coffee,Medium,Cold,"Medium Iced Latte, chocolate flavored, served cold.",110,4.3,554,Out of Stock
ITEM0366,Espresso,Coffee,Small,Cold,"Small Espresso, caramel flavored, served cold.",86,3.2,341,Available
ITEM0367,Espresso,Coffee,Large,Cold,"Large Espresso, nutty and balanced, served cold.",171,3.4,158,Available
ITEM0368,Latte,Coffee,Small,Cold,"Small Latte, mild and creamy, served cold.",261,3.7,466,Available
ITEM0369,Flat White,Coffee,Medium,Cold,"Medium Flat White, smooth and creamy, served cold.",369,3.6,291,Available
ITEM0370,Vanilla Latte,Coffee,Small,Hot,"Small Vanilla Latte, rich and strong, served hot.",127,3.9,446,Out of Stock
ITEM0371,Espresso,Coffee,Large,Hot,"Large Espresso, light and refreshing, served hot.",439,3.5,571,Out of Stock
ITEM0372,Vanilla Latte,Coffee,Medium,Hot,"Medium Vanilla Latte, sweet and aromatic, served hot.",350,4.9,295,Available
ITEM0373,Affogato,Beverage,Large,Cold,"Large Affogato, chocolate flavored, served cold.",218,3.3,136,Available
ITEM0374,Affogato,Breakfast,Large,Hot,"Large Affogato, caramel flavored, served hot.",171,4.9,382,Available
ITEM0375,Latte,Coffee,Large,Hot,"Large Latte, nutty and balanced, served hot.",444,4.7,138,Available
ITEM0376,Cappuccino,Coffee,Large,Hot,"Large Cappuccino, mild and creamy, served hot.",370,4.7,458,Available
ITEM0377,Macchiato,Coffee,Large,Hot,"Large Macchiato, smooth and creamy, served hot.",432,4.5,572,Available
ITEM0378,Espresso,Coffee,Small,Cold,"Small Espresso, rich and strong, served cold.",198,4.7,408,Out of Stock
ITEM0379,Hazelnut Coffee,Coffee,Medium,Hot,"Medium Hazelnut Coffee, light and refreshing, served hot.",404,3.7,521,Out of Stock
ITEM0380,Latte,Coffee,Medium,Cold,"Medium Latte, sweet and aromatic, served cold.",301,3.5,449,Available
ITEM0381,Hazelnut Coffee,Coffee,Large,Cold,"Large Hazelnut Coffee, chocolate flavored, served cold.",206,4.5,144,Available
ITEM0382,Cappuccino,Coffee,Medium,Hot,"Medium Cappuccino, caramel flavored, served hot.",279,3.8,169,Available
ITEM0383,Espresso,Coffee,Medium,Cold,"Medium Espresso, nutty and balanced, served cold.",264,4.6,164,Available
ITEM0384,Americano,Coffee,Small,Cold,"Small Americano, mild and creamy, served cold.",309,4.2,584,Out of Stock
ITEM0385,Americano,Coffee,Small,Hot,"Small Americano, smooth and creamy, served hot.",261,4.2,392,Out of Stock
ITEM0386,Espresso,Coffee,Medium,Cold,"Medium Espresso, rich and strong, served cold.",278,4.6,632,Available
ITEM0387,Iced Mocha,Breakfast,Small,Cold,"Small Iced Mocha, light and refreshing, served cold.",166,3.4,368,Available
ITEM0388,Cold Coffee,Coffee,Small,Hot,"Small Cold Coffee, sweet and aromatic, served hot.",165,4.0,491,Available
ITEM0389,Cold Coffee,Coffee,Small,Cold,"Small Cold Coffee, chocolate flavored, served cold.",208,4.9,567,Available
ITEM0390,Cold Coffee,Coffee,Small,Hot,"Small Cold Coffee, caramel flavored, served hot.",235,3.2,465,Available
ITEM0391,Irish Cream Coffee,Coffee,Large,Cold,"Large Irish Cream Coffee, nutty and balanced, served cold.",248,4.0,500,Available
ITEM0392,Mocha,Coffee,Medium,Hot,"Medium Mocha, mild and creamy, served hot.",325,3.8,467,Available
ITEM0393,Mocha,Coffee,Large,Cold,"Large Mocha, smooth and creamy, served cold.",374,4.6,393,Out of Stock
ITEM0394,Mocha,Coffee,Medium,Cold,"Medium Mocha, rich and strong, served cold.",138,4.9,264,Available
ITEM0395,Vanilla Latte,Coffee,Large,Hot,"Large Vanilla Latte, light and refreshing, served hot.",316,4.9,274,Out of Stock
ITEM0396,Hazelnut Coffee,Coffee,Medium,Hot,"Medium Hazelnut Coffee, sweet and aromatic, served hot.",289,4.4,202,Available
ITEM0397,Latte,Coffee,Medium,Hot,"Medium Latte, chocolate flavored, served hot.",446,4.0,446,Available
ITEM0398,Cold Coffee,Coffee,Large,Cold,"Large Cold Coffee, caramel flavored, served cold.",378,3.9,578,Out of Stock
ITEM0399,Iced Latte,Coffee,Small,Cold,"Small Iced Latte, nutty and balanced, served cold.",439,4.8,609,Available
ITEM0400,Americano,Coffee,Small,Cold,"Small Americano, mild and creamy, served cold.",165,4.4,105,Out of Stock
ITEM0401,Hazelnut Coffee,Coffee,Medium,Cold,"Medium Hazelnut Coffee, smooth and creamy, served cold.",134,3.2,324,Available
ITEM0402,Iced Latte,Coffee,Large,Hot,"Large Iced Latte, rich and strong, served hot.",308,3.9,534,Available
ITEM0403,Flat White,Coffee,Small,Cold,"Small Flat White, light and refreshing, served cold.",133,3.7,147,Available
ITEM0404,Irish Cream Coffee,Coffee,Large,Hot,"Large Irish Cream Coffee, sweet and aromatic, served hot.",258,3.8,526,Available
ITEM0405,Iced Latte,Coffee,Medium,Cold,"Medium Iced Latte, chocolate flavored, served cold.",323,3.4,523,Available
ITEM0406,Americano,Coffee,Medium,Hot,"Medium Americano, caramel flavored, served hot.",443,3.4,411,Available
ITEM0407,Vanilla Latte,Coffee,Small,Hot,"Small Vanilla Latte, nutty and balanced, served hot.",344,3.5,223,Available
ITEM0408,Iced Latte,Coffee,Medium,Cold,"Medium Iced Latte, mild and creamy, served cold.",198,4.6,248,Available
ITEM0409,Vanilla Latte,Coffee,Large,Cold,"Large Vanilla Latte, smooth and creamy, served cold.",282,3.3,262,Out of Stock
ITEM0410,Iced Mocha,Snack,Medium,Hot,"Medium Iced Mocha, rich and strong, served hot.",440,3.6,345,Available
ITEM0411,Iced Mocha,Tea,Large,Hot,"Large Iced Mocha, light and refreshing, served hot.",267,3.8,528,Available
ITEM0412,Mocha,Coffee,Large,Cold,"Large Mocha, sweet and aromatic, served cold.",350,4.9,380,Out of Stock
ITEM0413,Iced Mocha,Snack,Large,Hot,"Large Iced Mocha, chocolate flavored, served hot.",258,3.8,528,Available
ITEM0414,Irish Cream Coffee,Coffee,Large,Cold,"Large Irish Cream Coffee, caramel flavored, served cold.",394,4.3,197,Available
ITEM0415,Americano,Coffee,Small,Cold,"Small Americano, nutty and balanced, served cold.",139,3.5,204,Out of Stock
ITEM0416,Macchiato,Coffee,Large,Hot,"Large Macchiato, mild and creamy, served hot.",374,3.9,250,Out of Stock
ITEM0417,Vanilla Latte,Coffee,Large,Hot,"Large Vanilla Latte, smooth and creamy, served hot.",364,3.5,355,Available
ITEM0418,Cappuccino,Coffee,Medium,Cold,"Medium Cappuccino, rich and strong, served cold.",397,3.3,427,Available
ITEM0419,Cold Coffee,Coffee,Small,Hot,"Small Cold Coffee, light and refreshing, served hot.",276,4.9,577,Out of Stock
ITEM0420,Macchiato,Coffee,Large,Cold,"Large Macchiato, sweet and aromatic, served cold.",292,4.5,514,Out of Stock
ITEM0421,Cappuccino,Coffee,Small,Hot,"Small Cappuccino, chocolate flavored, served hot.",192,3.7,341,Available
ITEM0422,Iced Latte,Coffee,Medium,Hot,"Medium Iced Latte, caramel flavored, served hot.",314,4.2,567,Available
ITEM0423,Iced Mocha,Tea,Medium,Cold,"Medium Iced Mocha, nutty and balanced, served cold.",357,4.7,102,Out of Stock
ITEM0424,Iced Latte,Coffee,Small,Cold,"Small Iced Latte, mild and creamy, served cold.",132,4.5,313,Available
ITEM0425,Irish Cream Coffee,Coffee,Small,Cold,"Small Irish Cream Coffee, smooth and creamy, served cold.",214,3.8,149,Out of Stock
ITEM0426,Irish Cream Coffee,Coffee,Small,Hot,"Small Irish Cream Coffee, rich and strong, served hot.",187,4.7,419,Out of Stock
ITEM0427,Cappuccino,Coffee,Large,Hot,"Large Cappuccino, light and refreshing, served hot.",185,4.7,120,Available
ITEM0428,Iced Latte,Coffee,Medium,Hot,"Medium Iced Latte, sweet and aromatic, served hot.",245,5.0,359,Available
ITEM0429,Iced Mocha,Sandwich,Large,Hot,"Large Iced Mocha, chocolate flavored, served hot.",149,4.9,481,Available
ITEM0430,Mocha,Coffee,Large,Hot,"Large Mocha, caramel flavored, served hot.",439,4.8,315,Available
ITEM0431,Caramel Latte,Coffee,Medium,Hot,"Medium Caramel Latte, nutty and balanced, served hot.",426,3.9,205,Available
ITEM0432,Vanilla Latte,Coffee,Medium,Cold,"Medium Vanilla Latte, mild and creamy, served cold.",311,3.3,155,Out of Stock
ITEM0433,Iced Latte,Coffee,Large,Cold,"Large Iced Latte, smooth and creamy, served cold.",435,4.9,437,Out of Stock
ITEM0434,Cold Coffee,Coffee,Medium,Hot,"Medium Cold Coffee, rich and strong, served hot.",127,4.5,529,Available
ITEM0435,Irish Cream Coffee,Coffee,Small,Cold,"Small Irish Cream Coffee, light and refreshing, served cold.",191,4.9,276,Out of Stock
ITEM0436,Mocha,Coffee,Medium,Cold,"Medium Mocha, sweet and aromatic, served cold.",252,4.2,193,Out of Stock
ITEM0437,Hazelnut Coffee,Coffee,Medium,Hot,"Medium Hazelnut Coffee, chocolate flavored, served hot.",103,3.4,530,Available
ITEM0438,Americano,Coffee,Small,Cold,"Small Americano, caramel flavored, served cold.",313,3.2,498,Available
ITEM0439,Caramel Latte,Coffee,Small,Cold,"Small Caramel Latte, nutty and balanced, served cold.",161,4.8,340,Available
ITEM0440,Vanilla Latte,Coffee,Medium,Cold,"Medium Vanilla Latte, mild and creamy, served cold.",122,3.9,229,Available
ITEM0441,Macchiato,Coffee,Large,Cold,"Large Macchiato, smooth and creamy, served cold.",438,4.6,499,Available
ITEM0442,Caramel Latte,Coffee,Small,Hot,"Small Caramel Latte, rich and strong, served hot.",189,4.1,195,Available
ITEM0443,Iced Latte,Coffee,Large,Cold,"Large Iced Latte, light and refreshing, served cold.",84,3.2,411,Available
ITEM0444,Irish Cream Coffee,Coffee,Medium,Hot,"Medium Irish Cream Coffee, sweet and aromatic, served hot.",324,3.3,452,Available
ITEM0445,Caramel Latte,Coffee,Small,Hot,"Small Caramel Latte, chocolate flavored, served hot.",240,3.9,366,Available
ITEM0446,Macchiato,Coffee,Small,Hot,"Small Macchiato, caramel flavored, served hot.",115,4.2,68,Available
ITEM0447,Cold Coffee,Coffee,Medium,Hot,"Medium Cold Coffee, nutty and balanced, served hot.",401,4.5,481,Out of Stock
ITEM0448,Irish Cream Coffee,Coffee,Small,Hot,"Small Irish Cream Coffee, mild and creamy, served hot.",131,3.5,186,Out of Stock
ITEM0449,Flat White,Coffee,Medium,Cold,"Medium Flat White, smooth and creamy, served cold.",151,3.6,146,Available
ITEM0450,Iced Latte,Coffee,Large,Cold,"Large Iced Latte, rich and strong, served cold.",433,3.2,368,Available
ITEM0451,Iced Latte,Coffee,Large,Hot,"Large Iced Latte, light and refreshing, served hot.",280,3.7,115,Available
ITEM0452,Cold Coffee,Coffee,Medium,Hot,"Medium Cold Coffee, sweet and aromatic, served hot.",203,4.1,132,Available
ITEM0453,Flat White,Coffee,Medium,Hot,"Medium Flat White, chocolate flavored, served hot.",278,4.7,642,Out of Stock
ITEM0454,Flat White,Coffee,Large,Hot,"Large Flat White, caramel flavored, served hot.",321,4.9,134,Available
ITEM0455,Iced Mocha,Tea,Small,Cold,"Small Iced Mocha, nutty and balanced, served cold.",190,3.3,121,Out of Stock
ITEM0456,Iced Latte,Coffee,Medium,Cold,"Medium Iced Latte, mild and creamy, served cold.",296,4.5,144,Available
ITEM0457,Mocha,Coffee,Small,Cold,"Small Mocha, smooth and creamy, served cold.",120,4.1,268,Available
